Week,buy online: (United States)
14-05-2017,36
21-05-2017,36
28-05-2017,38
04-06-2017,39
11-06-2017,38
18-06-2017,38
25-06-2017,38
02-07-2017,42
09-07-2017,41
16-07-2017,39
23-07-2017,39
30-07-2017,40
06-08-2017,40
13-08-2017,39
20-08-2017,40
27-08-2017,37
03-09-2017,38
10-09-2017,37
17-09-2017,36
24-09-2017,37
01-10-2017,38
08-10-2017,38
15-10-2017,37
22-10-2017,37
29-10-2017,35
05-11-2017,38
12-11-2017,39
19-11-2017,51
26-11-2017,40
03-12-2017,38
10-12-2017,41
17-12-2017,41
24-12-2017,43
31-12-2017,41
07-01-2018,37
14-01-2018,36
21-01-2018,36
28-01-2018,36
04-02-2018,36
11-02-2018,35
18-02-2018,37
25-02-2018,36
04-03-2018,36
11-03-2018,34
18-03-2018,33
25-03-2018,34
01-04-2018,35
08-04-2018,32
15-04-2018,32
22-04-2018,32
29-04-2018,33
06-05-2018,33
13-05-2018,32
20-05-2018,33
27-05-2018,35
03-06-2018,34
10-06-2018,35
17-06-2018,33
24-06-2018,36
01-07-2018,37
08-07-2018,35
15-07-2018,35
22-07-2018,35
29-07-2018,36
05-08-2018,36
12-08-2018,36
19-08-2018,33
26-08-2018,34
02-09-2018,34
09-09-2018,33
16-09-2018,34
23-09-2018,32
30-09-2018,33
07-10-2018,32
14-10-2018,38
21-10-2018,37
28-10-2018,32
04-11-2018,33
11-11-2018,35
18-11-2018,45
25-11-2018,37
02-12-2018,36
09-12-2018,35
16-12-2018,37
23-12-2018,39
30-12-2018,36
06-01-2019,33
13-01-2019,32
20-01-2019,32
27-01-2019,32
03-02-2019,33
10-02-2019,32
17-02-2019,32
24-02-2019,32
03-03-2019,33
10-03-2019,32
17-03-2019,31
24-03-2019,33
31-03-2019,32
07-04-2019,31
14-04-2019,30
21-04-2019,32
28-04-2019,32
05-05-2019,30
12-05-2019,31
19-05-2019,33
26-05-2019,32
02-06-2019,35
09-06-2019,32
16-06-2019,32
23-06-2019,33
30-06-2019,34
07-07-2019,32
14-07-2019,33
21-07-2019,35
28-07-2019,34
04-08-2019,34
11-08-2019,33
18-08-2019,33
25-08-2019,32
01-09-2019,34
08-09-2019,30
15-09-2019,32
22-09-2019,32
29-09-2019,33
06-10-2019,31
13-10-2019,33
20-10-2019,31
27-10-2019,28
03-11-2019,33
10-11-2019,32
17-11-2019,33
24-11-2019,41
01-12-2019,36
08-12-2019,34
15-12-2019,38
22-12-2019,40
29-12-2019,38
05-01-2020,36
12-01-2020,35
19-01-2020,33
26-01-2020,32
02-02-2020,36
09-02-2020,34
16-02-2020,35
23-02-2020,34
01-03-2020,35
08-03-2020,46
15-03-2020,87
22-03-2020,87
29-03-2020,100
05-04-2020,100
12-04-2020,91
19-04-2020,85
26-04-2020,79
03-05-2020,72
10-05-2020,66
17-05-2020,63
24-05-2020,58
31-05-2020,57
07-06-2020,55
14-06-2020,51
21-06-2020,48
28-06-2020,53
05-07-2020,52
12-07-2020,50
19-07-2020,46
26-07-2020,48
02-08-2020,46
09-08-2020,42
16-08-2020,43
23-08-2020,40
30-08-2020,38
06-09-2020,38
13-09-2020,36
20-09-2020,36
27-09-2020,34
04-10-2020,38
11-10-2020,38
18-10-2020,38
25-10-2020,37
01-11-2020,32
08-11-2020,45
15-11-2020,43
22-11-2020,50
29-11-2020,45
06-12-2020,44
13-12-2020,45
20-12-2020,42
27-12-2020,42
03-01-2021,44
10-01-2021,45
17-01-2021,47
24-01-2021,40
31-01-2021,42
07-02-2021,39
14-02-2021,38
21-02-2021,37
28-02-2021,37
07-03-2021,35
14-03-2021,37
21-03-2021,36
28-03-2021,38
04-04-2021,37
11-04-2021,38
18-04-2021,45
25-04-2021,39
02-05-2021,38
09-05-2021,37
16-05-2021,35
23-05-2021,36
30-05-2021,36
06-06-2021,35
13-06-2021,35
20-06-2021,35
27-06-2021,35
04-07-2021,36
11-07-2021,36
18-07-2021,37
25-07-2021,36
01-08-2021,35
08-08-2021,36
15-08-2021,36
22-08-2021,35
29-08-2021,35
05-09-2021,35
12-09-2021,35
19-09-2021,35
26-09-2021,35
03-10-2021,35
10-10-2021,37
17-10-2021,36
24-10-2021,37
31-10-2021,36
07-11-2021,37
14-11-2021,34
21-11-2021,38
28-11-2021,37
05-12-2021,36
12-12-2021,36
19-12-2021,39
26-12-2021,38
02-01-2022,37
09-01-2022,36
16-01-2022,34
23-01-2022,35
30-01-2022,34
06-02-2022,34
13-02-2022,33
20-02-2022,33
27-02-2022,33
06-03-2022,34
13-03-2022,32
20-03-2022,32
27-03-2022,33
03-04-2022,32
10-04-2022,33
17-04-2022,32
24-04-2022,32
01-05-2022,33
08-05-2022,38
